id,country,gender,uid,group,join_dt,device,uid,dt,device,spent
1044694,BRA,,1044694,B,26/01/2023,A,1044694,26/01/2023,A,190.91
1014949,BRA,,1014949,A,28/01/2023,I,1014949,28/01/2023,I,190.77
1004133,TUR,F,1004133,B,26/01/2023,A,1004133,26/01/2023,A,190.37
1021115,TUR,F,1021115,B,28/01/2023,I,1021115,31/01/2023,I,189.91
1035018,MEX,F,1035018,B,30/01/2023,I,1035018,30/01/2023,I,188.95
1002492,BRA,F,1002492,A,04/02/2023,A,1002492,04/02/2023,A,188.92
1037673,ESP,O,1037673,A,26/01/2023,I,1037673,26/01/2023,I,188.8
1045347,GBR,F,1045347,B,26/01/2023,I,1045347,26/01/2023,I,188.52
1035073,USA,,1035073,B,25/01/2023,I,1035073,25/01/2023,I,188.31
1011339,DEU,F,1011339,B,27/01/2023,A,1011339,27/01/2023,A,187.48
1049880,TUR,M,1049880,A,26/01/2023,I,1049880,26/01/2023,I,186.69
1044066,USA,F,1044066,B,27/01/2023,I,1044066,27/01/2023,I,185.26
1014183,USA,F,1014183,B,25/01/2023,A,1014183,25/01/2023,A,183.34
1017671,DEU,M,1017671,B,27/01/2023,A,1017671,02/02/2023,A,182.93
1003148,BRA,M,1003148,B,30/01/2023,I,1003148,30/01/2023,I,182.71
1027975,TUR,F,1027975,A,01/02/2023,I,1027975,05/02/2023,I,182.2964919
1047194,FRA,F,1047194,A,25/01/2023,I,1047194,26/01/2023,I,180.65
1019937,DEU,F,1019937,A,03/02/2023,A,1019937,03/02/2023,A,180.38
1032555,BRA,M,1032555,A,26/01/2023,I,1032555,26/01/2023,I,180.32
1002807,MEX,,1002807,A,02/02/2023,A,1002807,02/02/2023,A,178.88
1043645,BRA,M,1043645,B,30/01/2023,I,1043645,30/01/2023,I,178.14
1007878,BRA,M,1007878,B,30/01/2023,A,1007878,30/01/2023,A,177.72
1007249,BRA,M,1007249,A,26/01/2023,I,1007249,28/01/2023,I,176.88
1038282,USA,M,1038282,B,27/01/2023,A,1038282,27/01/2023,A,176.86
1045250,USA,M,1045250,A,30/01/2023,A,1045250,31/01/2023,A,176.86
1000669,BRA,M,1000669,A,29/01/2023,I,1000669,29/01/2023,I,176.83
1005885,TUR,O,1005885,B,26/01/2023,I,1005885,26/01/2023,I,176.76
1047639,BRA,F,1047639,A,28/01/2023,I,1047639,01/02/2023,I,176.67
1015612,USA,M,1015612,A,26/01/2023,I,1015612,26/01/2023,I,175
1038756,BRA,M,1038756,A,27/01/2023,A,1038756,27/01/2023,A,174.74
1033523,USA,F,1033523,A,03/02/2023,I,1033523,03/02/2023,I,174
1025845,USA,O,1025845,A,28/01/2023,A,1025845,28/01/2023,A,173.67
1003816,BRA,,1003816,A,06/02/2023,A,1003816,06/02/2023,A,173.55
1003440,USA,F,1003440,B,01/02/2023,I,1003440,01/02/2023,I,172.96
1044812,USA,,1044812,A,28/01/2023,A,1044812,02/02/2023,A,171.5
1047128,USA,F,1047128,B,29/01/2023,I,1047128,31/01/2023,I,170.87
1041273,USA,M,1041273,B,27/01/2023,I,1041273,27/01/2023,I,170.49
1021171,USA,O,1021171,B,26/01/2023,A,1021171,26/01/2023,A,169.5
1014953,BRA,F,1014953,A,26/01/2023,I,1014953,26/01/2023,I,169.37
1033250,BRA,F,1033250,A,25/01/2023,I,1033250,25/01/2023,I,168.85
1032045,BRA,M,1032045,A,05/02/2023,I,1032045,05/02/2023,I,168.01
1023864,,O,1023864,B,02/02/2023,I,1023864,02/02/2023,I,167.86
1029080,USA,M,1029080,A,04/02/2023,I,1029080,04/02/2023,I,166.71
1000200,USA,F,1000200,A,26/01/2023,I,1000200,26/01/2023,I,166.32
1032735,USA,F,1032735,A,27/01/2023,I,1032735,27/01/2023,I,166.06
1017566,GBR,F,1017566,A,27/01/2023,A,1017566,27/01/2023,A,165.14
1020103,USA,M,1020103,B,29/01/2023,A,1020103,01/02/2023,A,164.62
1025283,AUS,F,1025283,B,29/01/2023,I,1025283,31/01/2023,I,164.58
1003663,BRA,,1003663,A,25/01/2023,I,1003663,25/01/2023,I,164.36
1015344,MEX,F,1015344,A,31/01/2023,A,1015344,31/01/2023,A,163.56
1024350,USA,F,1024350,A,28/01/2023,A,1024350,28/01/2023,A,163.42
1013758,USA,M,1013758,B,04/02/2023,A,1013758,04/02/2023,A,163.06
1013176,TUR,F,1013176,A,26/01/2023,A,1013176,26/01/2023,A,162.87
1042411,USA,F,1042411,B,27/01/2023,I,1042411,28/01/2023,I,162.86
1005712,FRA,,1005712,A,25/01/2023,I,1005712,28/01/2023,I,162.6
1020700,USA,F,1020700,B,28/01/2023,A,1020700,30/01/2023,A,161.94
1040844,BRA,,1040844,A,27/01/2023,I,1040844,27/01/2023,I,161.8
1039909,BRA,,1039909,B,27/01/2023,I,1039909,31/01/2023,I,161.54
1004325,BRA,M,1004325,B,27/01/2023,A,1004325,29/01/2023,A,161.46
1042745,CAN,F,1042745,A,31/01/2023,A,1042745,04/02/2023,A,161.44
1004078,USA,F,1004078,B,27/01/2023,A,1004078,27/01/2023,A,160.82
1011701,MEX,F,1011701,A,27/01/2023,I,1011701,27/01/2023,I,160.76
1049834,USA,F,1049834,A,29/01/2023,I,1049834,04/02/2023,I,160.35
1017857,USA,M,1017857,B,26/01/2023,I,1017857,28/01/2023,I,159.66
1032604,MEX,F,1032604,A,04/02/2023,I,1032604,04/02/2023,I,159.02
1009105,BRA,F,1009105,A,25/01/2023,I,1009105,25/01/2023,I,158.77
1024982,MEX,,1024982,A,28/01/2023,I,1024982,28/01/2023,I,158.55
1043062,FRA,M,1043062,A,26/01/2023,I,1043062,26/01/2023,I,158.36
1028100,USA,,1028100,B,25/01/2023,A,1028100,25/01/2023,A,157.15
1009201,USA,F,1009201,A,30/01/2023,A,1009201,04/02/2023,A,157.13
1032254,BRA,M,1032254,A,28/01/2023,I,1032254,01/02/2023,I,156.76
1007502,DEU,F,1007502,A,26/01/2023,A,1007502,26/01/2023,A,156.73
1026180,ESP,M,1026180,B,25/01/2023,A,1026180,25/01/2023,A,156.72
1045615,GBR,F,1045615,A,31/01/2023,I,1045615,31/01/2023,I,156.71
1047770,DEU,F,1047770,B,31/01/2023,A,1047770,31/01/2023,A,156.64
1024176,MEX,F,1024176,B,05/02/2023,I,1024176,05/02/2023,I,156.46
1012099,BRA,F,1012099,A,30/01/2023,A,1012099,01/02/2023,A,155.52
1027837,USA,F,1027837,B,27/01/2023,A,1027837,27/01/2023,A,155.15
1014511,USA,M,1014511,B,03/02/2023,I,1014511,03/02/2023,I,154.95
1037691,USA,M,1037691,B,25/01/2023,A,1037691,25/01/2023,A,154.34
1011746,BRA,F,1011746,B,31/01/2023,A,1011746,31/01/2023,A,154.22
1009627,AUS,F,1009627,A,01/02/2023,I,1009627,01/02/2023,I,153.94
1041445,AUS,F,1041445,B,27/01/2023,A,1041445,27/01/2023,A,153.55
1008885,CAN,F,1008885,B,25/01/2023,A,1008885,26/01/2023,A,152.41
1015896,USA,M,1015896,B,27/01/2023,A,1015896,27/01/2023,A,152.4
1011474,USA,F,1011474,A,29/01/2023,A,1011474,03/02/2023,A,152.09
1042936,USA,F,1042936,A,25/01/2023,I,1042936,25/01/2023,I,151.75
1043407,,M,1043407,B,25/01/2023,I,1043407,25/01/2023,I,151.43
1041210,ESP,F,1041210,A,03/02/2023,I,1041210,03/02/2023,I,151.3
1028578,,F,1028578,A,28/01/2023,A,1028578,28/01/2023,A,150.73
1014011,DEU,M,1014011,B,04/02/2023,I,1014011,05/02/2023,I,150.72
1010867,CAN,F,1010867,A,27/01/2023,A,1010867,27/01/2023,A,150.38
1025404,FRA,M,1025404,A,25/01/2023,I,1025404,25/01/2023,I,149.98
1030777,MEX,,1030777,A,27/01/2023,I,1030777,27/01/2023,I,149.96
1006799,FRA,M,1006799,A,27/01/2023,I,1006799,27/01/2023,I,149.82
1025470,TUR,F,1025470,A,05/02/2023,I,1025470,05/02/2023,I,149.69
1012567,BRA,M,1012567,A,05/02/2023,A,1012567,05/02/2023,A,148.6
1030319,TUR,F,1030319,B,25/01/2023,I,1030319,25/01/2023,I,148
1005084,USA,M,1005084,A,28/01/2023,I,1005084,28/01/2023,I,147.63
1044255,TUR,F,1044255,A,29/01/2023,I,1044255,31/01/2023,I,147.24
1012594,USA,,1012594,A,01/02/2023,I,1012594,01/02/2023,I,147.18
1008409,FRA,F,1008409,A,01/02/2023,A,1008409,03/02/2023,A,147.05
1043919,MEX,O,1043919,A,30/01/2023,A,1043919,30/01/2023,A,146.86
1045058,USA,F,1045058,B,25/01/2023,I,1045058,25/01/2023,I,146.78
1020325,USA,M,1020325,A,05/02/2023,I,1020325,06/02/2023,I,145.9440954
1028308,MEX,M,1028308,A,27/01/2023,I,1028308,27/01/2023,I,145.69
1004782,USA,M,1004782,A,26/01/2023,A,1004782,26/01/2023,A,145.6
1013110,USA,,1013110,B,25/01/2023,I,1013110,25/01/2023,I,145.11
1019756,USA,M,1019756,B,26/01/2023,I,1019756,26/01/2023,I,144.98
1004843,BRA,,1004843,B,25/01/2023,A,1004843,27/01/2023,A,144.72
1025152,TUR,,1025152,A,28/01/2023,A,1025152,30/01/2023,A,144.53
1047709,CAN,,1047709,A,27/01/2023,A,1047709,27/01/2023,A,144.48
1011950,USA,M,1011950,A,31/01/2023,A,1011950,31/01/2023,A,144.11
1010396,CAN,F,1010396,A,26/01/2023,A,1010396,26/01/2023,A,143.86
1012366,TUR,,1012366,A,06/02/2023,I,1012366,06/02/2023,I,143.61
1037062,DEU,M,1037062,A,29/01/2023,I,1037062,29/01/2023,I,142.72
1015705,BRA,M,1015705,B,25/01/2023,A,1015705,27/01/2023,A,142.7
1015992,USA,F,1015992,A,04/02/2023,A,1015992,05/02/2023,A,142.69
1049473,USA,M,1049473,B,29/01/2023,A,1049473,29/01/2023,A,142.59
1015342,GBR,M,1015342,B,27/01/2023,I,1015342,27/01/2023,I,142.35
1018970,USA,M,1018970,A,06/02/2023,I,1018970,06/02/2023,I,142.11
1025024,TUR,F,1025024,A,27/01/2023,I,1025024,27/01/2023,I,141.86
1008723,FRA,M,1008723,B,26/01/2023,I,1008723,26/01/2023,I,141.28
1022206,BRA,M,1022206,A,25/01/2023,I,1022206,25/01/2023,I,141.18
1004990,TUR,M,1004990,B,01/02/2023,,1004990,01/02/2023,,141
1049009,BRA,M,1049009,A,31/01/2023,I,1049009,01/02/2023,I,140.57
1014895,USA,M,1014895,A,06/02/2023,I,1014895,06/02/2023,I,140.24
1003127,MEX,M,1003127,B,05/02/2023,I,1003127,05/02/2023,I,139.73
1014515,USA,M,1014515,B,27/01/2023,I,1014515,31/01/2023,I,139.73
1044992,,F,1044992,B,26/01/2023,I,1044992,27/01/2023,I,139.33
1035407,GBR,M,1035407,B,25/01/2023,I,1035407,25/01/2023,I,139.24
1018350,GBR,M,1018350,A,28/01/2023,I,1018350,29/01/2023,I,139.02
1014367,FRA,M,1014367,B,31/01/2023,A,1014367,31/01/2023,A,138.92
1036452,DEU,M,1036452,A,28/01/2023,I,1036452,28/01/2023,I,138.89
1022602,USA,M,1022602,A,25/01/2023,I,1022602,25/01/2023,I,138.7
1040145,CAN,O,1040145,B,31/01/2023,I,1040145,31/01/2023,I,138.39
1001962,MEX,F,1001962,B,27/01/2023,A,1001962,27/01/2023,A,138.38
1029147,MEX,,1029147,B,28/01/2023,A,1029147,28/01/2023,A,138.27
1019808,MEX,F,1019808,B,27/01/2023,A,1019808,27/01/2023,A,137.73
1022336,DEU,,1022336,B,01/02/2023,I,1022336,01/02/2023,I,137.64
1025708,MEX,,1025708,A,31/01/2023,A,1025708,31/01/2023,A,137.41
1026684,USA,,1026684,A,31/01/2023,I,1026684,31/01/2023,I,137.1
1026343,AUS,M,1026343,B,26/01/2023,I,1026343,26/01/2023,I,136.8
1007616,AUS,F,1007616,A,25/01/2023,A,1007616,25/01/2023,A,136.76
1046409,USA,M,1046409,A,26/01/2023,A,1046409,26/01/2023,A,136.63
1036075,BRA,M,1036075,A,01/02/2023,I,1036075,01/02/2023,I,136.4
1011467,FRA,F,1011467,A,05/02/2023,I,1011467,05/02/2023,I,136.01
1041137,USA,,1041137,A,26/01/2023,A,1041137,26/01/2023,A,135.91
1033728,USA,M,1033728,A,26/01/2023,A,1033728,26/01/2023,A,135.82
1027512,USA,F,1027512,B,29/01/2023,A,1027512,29/01/2023,A,135.66
1008392,USA,F,1008392,B,26/01/2023,A,1008392,26/01/2023,A,135.5
1003061,USA,F,1003061,B,26/01/2023,I,1003061,26/01/2023,I,135.31
1020275,TUR,F,1020275,B,25/01/2023,I,1020275,27/01/2023,I,134.49
1010347,USA,F,1010347,A,27/01/2023,A,1010347,27/01/2023,A,134.42
1043711,USA,F,1043711,B,27/01/2023,A,1043711,31/01/2023,A,134.19
1033161,USA,F,1033161,A,27/01/2023,A,1033161,30/01/2023,A,134.09
1037296,BRA,M,1037296,A,27/01/2023,I,1037296,27/01/2023,I,133.28
1020890,USA,M,1020890,B,25/01/2023,A,1020890,25/01/2023,A,133.03
1048842,MEX,F,1048842,A,28/01/2023,I,1048842,28/01/2023,I,132.19
1036182,TUR,F,1036182,A,26/01/2023,A,1036182,26/01/2023,A,132
1019805,GBR,M,1019805,B,27/01/2023,I,1019805,27/01/2023,I,131.69
1048515,BRA,M,1048515,B,27/01/2023,I,1048515,29/01/2023,I,131.65
1021595,USA,F,1021595,A,03/02/2023,I,1021595,03/02/2023,I,131.61
1014150,BRA,F,1014150,B,06/02/2023,I,1014150,06/02/2023,I,131.33
1012693,MEX,F,1012693,A,25/01/2023,I,1012693,26/01/2023,I,130.81
1023067,USA,F,1023067,A,26/01/2023,I,1023067,26/01/2023,I,130.77
1027184,CAN,F,1027184,A,27/01/2023,I,1027184,28/01/2023,I,130.19
1020176,FRA,O,1020176,B,31/01/2023,I,1020176,31/01/2023,I,130.18
1036549,USA,F,1036549,B,26/01/2023,A,1036549,26/01/2023,A,130.07
1026374,BRA,F,1026374,A,26/01/2023,I,1026374,26/01/2023,I,129.68
1045538,AUS,F,1045538,A,25/01/2023,I,1045538,25/01/2023,I,129.67
1017715,CAN,M,1017715,B,06/02/2023,A,1017715,06/02/2023,A,129.62
1020643,TUR,F,1020643,A,27/01/2023,A,1020643,27/01/2023,A,128.92
1004772,CAN,M,1004772,B,25/01/2023,A,1004772,25/01/2023,A,128.91
1022824,BRA,F,1022824,A,25/01/2023,I,1022824,25/01/2023,I,128.88
1019868,USA,F,1019868,A,25/01/2023,I,1019868,25/01/2023,I,128.74
1023987,USA,F,1023987,B,29/01/2023,I,1023987,29/01/2023,I,128.66
1032141,USA,M,1032141,A,28/01/2023,I,1032141,02/02/2023,I,128.52
1020801,MEX,F,1020801,A,27/01/2023,A,1020801,27/01/2023,A,128.37
1032466,BRA,F,1032466,A,25/01/2023,I,1032466,25/01/2023,I,128.1
1039062,GBR,M,1039062,A,27/01/2023,I,1039062,27/01/2023,I,127.82
1042396,GBR,,1042396,B,29/01/2023,I,1042396,29/01/2023,I,127.74
1042741,USA,,1042741,B,05/02/2023,A,1042741,05/02/2023,A,127.55
1028764,USA,,1028764,B,26/01/2023,I,1028764,26/01/2023,I,126.94
1001811,FRA,O,1001811,A,25/01/2023,A,1001811,25/01/2023,A,126.86
1035194,USA,F,1035194,A,05/02/2023,A,1035194,05/02/2023,A,126.86
1036125,BRA,F,1036125,A,28/01/2023,I,1036125,28/01/2023,I,126.81
1017694,USA,F,1017694,B,25/01/2023,A,1017694,25/01/2023,A,126.78
1001501,BRA,F,1001501,B,03/02/2023,A,1001501,06/02/2023,A,126.67
1022237,GBR,,1022237,B,04/02/2023,I,1022237,04/02/2023,I,126.66
1028313,FRA,F,1028313,A,26/01/2023,A,1028313,26/01/2023,A,126.6
1033981,GBR,F,1033981,B,26/01/2023,A,1033981,26/01/2023,A,126.51
1030836,USA,F,1030836,A,25/01/2023,A,1030836,25/01/2023,A,126.3
1002316,USA,M,1002316,A,28/01/2023,I,1002316,28/01/2023,I,126.25
1037494,ESP,F,1037494,A,27/01/2023,A,1037494,28/01/2023,A,125.92
1009254,USA,F,1009254,B,29/01/2023,I,1009254,29/01/2023,I,125.9
1002550,BRA,M,1002550,B,25/01/2023,I,1002550,25/01/2023,I,125.83
1028295,MEX,M,1028295,A,31/01/2023,I,1028295,31/01/2023,I,125.66
1041865,USA,,1041865,B,27/01/2023,I,1041865,27/01/2023,I,125.46
1047635,DEU,F,1047635,B,30/01/2023,A,1047635,30/01/2023,A,125.3
1045618,ESP,F,1045618,A,26/01/2023,I,1045618,26/01/2023,I,124.86
1019970,BRA,,1019970,A,26/01/2023,I,1019970,31/01/2023,I,124.22
1022989,FRA,,1022989,A,01/02/2023,A,1022989,03/02/2023,A,124.12
1014804,MEX,M,1014804,B,25/01/2023,I,1014804,25/01/2023,I,123.82
1027505,USA,,1027505,A,02/02/2023,A,1027505,02/02/2023,A,123.72
1008920,DEU,,1008920,B,26/01/2023,A,1008920,29/01/2023,A,123.7
1041617,AUS,O,1041617,B,06/02/2023,I,1041617,06/02/2023,I,123.55
1009337,MEX,M,1009337,B,31/01/2023,I,1009337,31/01/2023,I,123.5
1031254,BRA,M,1031254,A,01/02/2023,I,1031254,01/02/2023,I,123.25
1027244,USA,F,1027244,A,25/01/2023,I,1027244,25/01/2023,I,123.11
1027350,,M,1027350,B,29/01/2023,I,1027350,29/01/2023,I,122.87
1031596,TUR,,1031596,A,01/02/2023,I,1031596,01/02/2023,I,122.85
1049729,USA,F,1049729,B,25/01/2023,A,1049729,25/01/2023,A,122.73
1029326,USA,,1029326,B,26/01/2023,A,1029326,26/01/2023,A,122.58
1001827,USA,F,1001827,B,31/01/2023,I,1001827,31/01/2023,I,122.48
1000937,GBR,F,1000937,B,27/01/2023,,1000937,27/01/2023,,122.28
1024139,BRA,F,1024139,A,28/01/2023,A,1024139,30/01/2023,A,121.86
1027166,MEX,F,1027166,A,27/01/2023,I,1027166,27/01/2023,I,121.84
1021715,USA,F,1021715,A,03/02/2023,A,1021715,03/02/2023,A,121.63
1034831,USA,F,1034831,B,25/01/2023,A,1034831,25/01/2023,A,121.52
1018575,ESP,,1018575,B,26/01/2023,I,1018575,26/01/2023,I,121.37
1029235,CAN,F,1029235,B,02/02/2023,A,1029235,02/02/2023,A,121.26
1010783,MEX,F,1010783,A,31/01/2023,I,1010783,31/01/2023,I,121.18
1019209,GBR,F,1019209,B,25/01/2023,I,1019209,25/01/2023,I,121.11
1008105,BRA,M,1008105,A,28/01/2023,I,1008105,28/01/2023,I,121.02
1036611,MEX,F,1036611,A,26/01/2023,A,1036611,26/01/2023,A,120.98
1046450,MEX,F,1046450,B,28/01/2023,I,1046450,30/01/2023,I,120.68
1015971,USA,F,1015971,A,06/02/2023,A,1015971,06/02/2023,A,120.2
1002988,USA,F,1002988,A,30/01/2023,I,1002988,30/01/2023,I,120.05
1005045,FRA,F,1005045,B,06/02/2023,A,1005045,06/02/2023,A,119.72
1049097,USA,M,1049097,A,26/01/2023,A,1049097,26/01/2023,A,119.64
1010894,DEU,M,1010894,A,04/02/2023,I,1010894,04/02/2023,I,119.33
1022263,FRA,,1022263,A,25/01/2023,I,1022263,27/01/2023,I,119.33
1010452,USA,,1010452,B,25/01/2023,A,1010452,25/01/2023,A,119.04
1048273,FRA,F,1048273,A,26/01/2023,A,1048273,26/01/2023,A,118.99
1006239,BRA,F,1006239,A,25/01/2023,A,1006239,25/01/2023,A,118.93
1020004,USA,,1020004,A,06/02/2023,I,1020004,06/02/2023,I,118.66
1023121,ESP,,1023121,A,28/01/2023,I,1023121,28/01/2023,I,118.18
1000579,BRA,M,1000579,B,04/02/2023,A,1000579,04/02/2023,A,117.79
1018321,USA,M,1018321,A,01/02/2023,I,1018321,01/02/2023,I,117.39
1024063,TUR,F,1024063,A,25/01/2023,A,1024063,28/01/2023,A,117.23
1006366,MEX,F,1006366,B,28/01/2023,I,1006366,28/01/2023,I,116.95
1010625,USA,F,1010625,B,25/01/2023,A,1010625,25/01/2023,A,116.4
1027543,DEU,F,1027543,B,25/01/2023,A,1027543,30/01/2023,A,116.4
1047029,USA,,1047029,B,31/01/2023,A,1047029,31/01/2023,A,116.36
1000269,USA,M,1000269,A,25/01/2023,A,1000269,25/01/2023,A,116.29
1022082,BRA,F,1022082,A,27/01/2023,A,1022082,27/01/2023,A,116.28
1004897,BRA,F,1004897,B,29/01/2023,I,1004897,29/01/2023,I,116.22
1030815,MEX,F,1030815,B,25/01/2023,I,1030815,25/01/2023,I,116.19
1024055,USA,M,1024055,A,01/02/2023,I,1024055,05/02/2023,I,116.08
1035202,BRA,,1035202,A,31/01/2023,A,1035202,31/01/2023,A,116.01
1001946,USA,M,1001946,A,26/01/2023,I,1001946,26/01/2023,I,115.92
1034464,USA,,1034464,B,25/01/2023,I,1034464,28/01/2023,I,115.61
1048757,TUR,M,1048757,A,30/01/2023,I,1048757,30/01/2023,I,115.44
1027669,ESP,O,1027669,A,29/01/2023,A,1027669,03/02/2023,A,115.4
1047570,TUR,,1047570,B,25/01/2023,I,1047570,25/01/2023,I,115.09
1045759,MEX,M,1045759,B,26/01/2023,A,1045759,26/01/2023,A,115.07
1025024,TUR,F,1025024,A,27/01/2023,I,1025024,29/01/2023,I,114.8043035
1044072,USA,F,1044072,B,25/01/2023,I,1044072,28/01/2023,I,114.8
1000930,DEU,F,1000930,A,27/01/2023,A,1000930,27/01/2023,A,114.56
1045330,MEX,M,1045330,B,26/01/2023,I,1045330,26/01/2023,I,114.48
1030017,USA,,1030017,A,02/02/2023,A,1030017,02/02/2023,A,114.33
1005593,GBR,F,1005593,B,25/01/2023,I,1005593,25/01/2023,I,114.15
1016632,USA,,1016632,A,02/02/2023,A,1016632,02/02/2023,A,114.09
1013108,CAN,M,1013108,A,26/01/2023,I,1013108,26/01/2023,I,113.85
1015130,USA,M,1015130,A,27/01/2023,A,1015130,27/01/2023,A,113.67
1015035,MEX,,1015035,B,25/01/2023,A,1015035,25/01/2023,A,113.51
1047029,USA,,1047029,B,31/01/2023,A,1047029,01/02/2023,A,113.4493018
1019002,BRA,F,1019002,A,01/02/2023,A,1019002,01/02/2023,A,113.33
1013141,USA,M,1013141,A,28/01/2023,A,1013141,01/02/2023,A,112.67
1015640,DEU,F,1015640,B,04/02/2023,A,1015640,04/02/2023,A,112.49
